板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
石油行业,-1.0,-10.24,-1.13,-1.02,-0.11,-9.22,-1.02,6.47,0.71,3.77,0.42,中国石油,601857
珠宝首饰,-2.71,-11.18,-2.48,-1.9,-0.42,-9.28,-2.05,-3.49,-0.77,14.67,3.25,菜百股份,605599
多元金融,-2.38,-12.11,-4.23,-4.68,-1.63,-7.43,-2.6,2.11,0.74,10.0,3.49,九鼎投资,600053
农药兽药,-2.85,-12.85,-2.2,-4.15,-0.71,-8.69,-1.49,1.13,0.19,11.6,1.99,广信股份,603599
装修装饰,-1.3,-12.95,-3.0,-9.15,-2.12,-3.8,-0.88,3.06,0.71,9.88,2.29,亚翔集成,603929
电源设备,-1.64,-13.89,-1.33,-4.0,-0.38,-9.89,-0.95,-18.23,-1.75,32.12,3.08,C恒运昌,688785
房地产开发,-0.54,-14.43,-1.24,-3.13,-0.27,-11.3,-0.97,0.94,0.08,13.49,1.16,保利发展,600048
医药商业,-3.84,-14.59,-4.52,-4.93,-1.53,-9.66,-2.99,-1.46,-0.45,16.04,4.97,益丰药房,603939
燃气,-2.47,-16.21,-4.23,-7.28,-1.9,-8.93,-2.33,-0.96,-0.25,16.86,4.4,升达林业,002259
采掘行业,1.76,-16.24,-1.74,-7.16,-0.77,-9.08,-0.97,4.24,0.45,12.53,1.34,石化油服,600871
仪器仪表,-1.76,-17.22,-2.79,-10.59,-1.71,-6.63,-1.07,-1.84,-0.3,16.66,2.7,容知日新,688768
中药,-2.17,-19.77,-3.31,-7.55,-1.26,-12.21,-2.04,3.37,0.56,16.29,2.72,东阿阿胶,000423
医疗服务,-1.97,-20.03,-2.03,-23.77,-2.41,3.74,0.38,7.46,0.76,12.56,1.28,通策医疗,600763
塑料制品,-2.47,-20.34,-1.89,-4.43,-0.41,-15.91,-1.48,-4.98,-0.46,24.16,2.24,神剑股份,002361
航运港口,-0.67,-20.71,-3.46,-16.69,-2.79,-4.03,-0.67,10.37,1.73,9.98,1.67,中远海能,600026
商业百货,-0.84,-21.29,-2.96,-8.94,-1.24,-12.35,-1.72,4.39,0.61,16.9,2.35,新华百货,600785
环保行业,-1.23,-21.5,-2.29,-10.87,-1.16,-10.64,-1.13,5.86,0.62,15.5,1.65,东湖高新,600133
化纤行业,-2.78,-22.39,-3.69,-12.8,-2.11,-9.59,-1.58,1.56,0.26,20.06,3.31,新凤鸣,603225
电机,-3.36,-22.59,-4.89,-12.12,-2.62,-10.47,-2.27,5.6,1.21,16.48,3.57,正弦电气,688395
钢铁行业,-3.29,-22.94,-2.0,-11.94,-1.04,-11.0,-0.96,7.03,0.61,15.94,1.39,海南矿业,601969
交运设备,-2.65,-25.93,-5.86,-20.97,-4.74,-4.96,-1.12,12.32,2.78,13.43,3.03,工大高科,688367
风电设备,-4.56,-29.61,-2.68,-15.03,-1.36,-14.58,-1.32,-0.94,-0.09,30.55,2.76,飞沃科技,301232
文化传媒,3.47,-34.3,-0.78,12.71,0.29,-47.01,-1.07,-13.57,-0.31,49.83,1.14,省广集团,002400
化学原料,-1.29,-35.51,-2.08,-18.43,-1.08,-17.08,-1.0,0.22,0.01,34.84,2.04,宝丰能源,600989
非金属材料,-4.08,-36.97,-3.17,-19.25,-1.65,-17.73,-1.52,0.47,0.04,34.92,2.99,天通股份,600330
家电行业,-2.41,-37.94,-2.32,-15.06,-0.92,-22.88,-1.4,-5.68,-0.35,43.12,2.64,美的集团,000333
医疗器械,-4.69,-41.25,-3.71,-24.97,-2.25,-16.27,-1.46,8.15,0.73,31.29,2.81,宝莱特,300246
电网设备,0.83,-42.04,-1.1,7.96,0.21,-50.0,-1.31,-7.13,-0.19,46.77,1.23,中超控股,002471
证券,-1.95,-45.26,-2.39,-53.19,-2.81,7.93,0.42,34.67,1.83,10.59,0.56,中信证券,600030
电子化学品,-4.73,-45.87,-5.4,-29.08,-3.42,-16.79,-1.98,10.97,1.29,34.9,4.11,宏昌电子,603002
化学制药,-3.96,-46.41,-2.79,-25.24,-1.52,-21.17,-1.27,-2.17,-0.13,47.06,2.83,广生堂,300436
化肥行业,-3.95,-46.71,-4.76,-28.22,-2.88,-18.48,-1.88,-5.28,-0.54,50.78,5.17,辉隆股份,002556
生物制品,-5.85,-47.03,-5.77,-25.69,-3.15,-21.33,-2.62,14.86,1.82,29.72,3.65,英诺特,688253
电力行业,-1.03,-47.33,-2.93,-49.04,-3.03,1.71,0.11,8.48,0.52,38.86,2.4,长江电力,600900
汽车整车,-3.3,-56.04,-5.8,-34.8,-3.6,-21.24,-2.2,15.7,1.63,40.34,4.18,江淮汽车,600418
光学光电子,-2.0,-56.91,-2.5,-28.58,-1.26,-28.34,-1.25,17.15,0.75,39.62,1.74,东田微,301183
计算机设备,-2.28,-56.99,-4.51,-41.1,-3.25,-15.89,-1.26,10.42,0.82,46.46,3.67,海康威视,002415
航天航空,-3.39,-57.9,-2.56,-43.72,-1.93,-14.18,-0.63,8.99,0.4,48.07,2.12,航发动力,600893
化学制品,-1.01,-61.3,-2.12,-13.15,-0.45,-48.16,-1.66,-5.21,-0.18,65.68,2.27,红 宝 丽,002165
互联网服务,-0.95,-68.35,-1.01,-17.18,-0.25,-51.17,-0.75,-16.61,-0.25,84.94,1.25,网宿科技,300017
电池,-2.91,-68.64,-2.71,-29.56,-1.17,-39.08,-1.54,10.12,0.4,55.77,2.2,诺德股份,600110
专用设备,-2.15,-71.6,-1.81,-39.72,-1.01,-31.88,-0.81,6.01,0.15,65.0,1.65,英维克,002837
工程建设,-1.15,-73.73,-4.36,-75.67,-4.47,1.94,0.11,35.64,2.11,38.19,2.26,上海建工,600170
能源金属,-7.93,-80.05,-5.31,-46.61,-3.09,-33.44,-2.22,16.35,1.08,63.7,4.22,威领股份,002667
汽车零部件,-2.92,-80.28,-2.32,-45.68,-1.32,-34.59,-1.0,11.08,0.32,66.05,1.91,航天科技,000901
通用设备,-2.42,-82.75,-2.58,-40.72,-1.27,-42.03,-1.31,0.66,0.02,77.6,2.42,巨力索具,002342
贵金属,-2.16,-92.08,-4.05,-44.29,-1.95,-47.78,-2.1,16.39,0.72,75.69,3.33,恒邦股份,002237
光伏设备,-0.9,-95.99,-2.2,-26.5,-0.61,-69.49,-1.59,-2.29,-0.05,97.16,2.23,钧达股份,002865
小金属,-2.43,-102.51,-2.31,-38.17,-0.86,-64.34,-1.45,-24.85,-0.56,127.06,2.87,北方稀土,600111
软件开发,-2.97,-109.28,-2.45,-55.21,-1.24,-54.07,-1.21,10.74,0.24,94.08,2.11,中控技术,688777
电子元件,-2.38,-162.05,-3.44,-100.54,-2.14,-61.52,-1.31,14.37,0.31,145.96,3.1,东山精密,002384
消费电子,-2.16,-195.82,-5.01,-125.01,-3.2,-70.81,-1.81,38.37,0.98,156.9,4.01,环旭电子,601231
有色金属,-4.34,-231.01,-3.24,-137.21,-1.92,-93.8,-1.31,9.92,0.14,221.09,3.1,北方铜业,000737
半导体,-4.06,-469.99,-3.69,-384.86,-3.02,-85.13,-0.67,142.48,1.12,326.74,2.56,寒武纪-U,688256
