板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
酿酒行业,5.58,67.68,3.28,62.65,3.04,5.04,0.24,-50.76,-2.46,-16.93,-0.82,贵州茅台,600519
银行,0.23,21.66,1.04,10.87,0.52,10.79,0.52,-21.59,-1.03,-0.07,0.0,工商银行,601398
玻璃玻纤,3.09,18.08,1.95,12.01,1.3,6.07,0.66,2.25,0.24,-17.18,-1.86,C振石,601112
保险,-0.42,12.09,1.33,14.79,1.63,-2.7,-0.3,-8.12,-0.89,-3.97,-0.44,中国平安,601318
船舶制造,2.48,6.41,1.11,8.52,1.47,-2.1,-0.36,-4.55,-0.78,-1.86,-0.32,海兰信,300065
专业服务,-0.93,2.8,0.66,3.6,0.85,-0.8,-0.19,-1.05,-0.25,-2.83,-0.66,航天工程,603698
工程机械,-0.97,2.7,0.41,7.08,1.09,-4.39,-0.67,-2.21,-0.34,-1.48,-0.23,三一重工,600031
铁路公路,0.0,2.01,0.92,2.39,1.09,-0.37,-0.17,-1.74,-0.79,-0.28,-0.13,京沪高铁,601816
房地产服务,2.08,0.83,0.42,4.28,2.14,-3.45,-1.72,-2.51,-1.25,1.68,0.84,我爱我家,000560
通信设备,0.49,-0.2,0.0,45.49,0.53,-45.68,-0.54,-40.48,-0.47,41.89,0.49,天孚通信,300394
公用事业,-0.68,-1.51,-0.97,-0.71,-0.45,-0.8,-0.52,0.53,0.34,0.98,0.63,联合水务,603291
水泥建材,0.17,-1.53,-0.45,3.3,0.96,-4.83,-1.41,-2.72,-0.8,4.26,1.24,四川金顶,600678
汽车服务,-3.13,-1.61,-3.19,-1.06,-2.11,-0.55,-1.09,0.62,1.23,0.71,1.41,阿尔特,300825
家用轻工,0.66,-2.53,-0.78,0.91,0.28,-3.44,-1.07,0.56,0.18,1.77,0.55,马可波罗,001386
煤炭行业,0.28,-3.03,-0.32,6.22,0.66,-9.25,-0.98,7.68,0.82,-4.65,-0.49,陕西黑猫,601015
造纸印刷,-0.59,-3.34,-1.03,0.1,0.03,-3.44,-1.06,0.77,0.24,2.0,0.62,凯恩股份,002012
旅游酒店,0.55,-3.79,-0.64,-1.43,-0.24,-2.37,-0.4,-2.86,-0.48,6.66,1.13,宋城演艺,300144
美容护理,-1.43,-3.95,-1.63,-3.06,-1.26,-0.89,-0.37,1.12,0.46,2.84,1.17,爱美客,300896
教育,-1.97,-5.83,-3.48,-0.65,-0.39,-5.18,-3.09,-2.03,-1.21,7.86,4.69,博通股份,600455
航空机场,-0.85,-5.84,-1.93,-4.56,-1.5,-1.28,-0.42,7.54,2.49,-1.7,-0.56,深圳机场,000089
物流行业,-1.49,-5.89,-1.21,-4.94,-1.01,-0.96,-0.2,4.01,0.82,1.84,0.38,N世盟,001220
装修建材,-0.57,-6.08,-1.03,-5.69,-0.96,-0.38,-0.06,-2.17,-0.37,7.41,1.26,青龙管业,002457
通信服务,-0.97,-6.35,-0.61,-10.72,-1.04,4.38,0.42,5.23,0.51,1.12,0.11,中国电信,601728
纺织服装,0.5,-7.08,-1.11,-1.22,-0.19,-5.86,-0.92,0.77,0.12,6.3,0.99,真爱美家,003041
工程咨询服务,-1.66,-7.68,-3.42,-2.86,-1.27,-4.82,-2.15,0.6,0.27,6.22,2.77,蕾奥规划,300989
综合行业,-3.01,-7.93,-2.63,-2.28,-0.76,-5.65,-1.88,-0.29,-0.1,8.22,2.73,浙江东日,600113
橡胶制品,-1.19,-8.0,-1.83,-5.81,-1.33,-2.19,-0.5,4.06,0.93,2.79,0.64,青岛双星,000599
农牧饲渔,0.36,-8.21,-0.49,3.61,0.21,-11.82,-0.7,-6.63,-0.39,15.34,0.91,牧原股份,002714
游戏,0.52,-8.21,-0.71,-5.72,-0.5,-2.49,-0.22,-7.64,-0.66,15.86,1.38,顺网科技,300113
食品饮料,-0.77,-8.36,-0.75,-3.46,-0.31,-4.9,-0.44,-1.97,-0.18,9.72,0.87,李子园,605337
包装材料,-2.46,-8.47,-2.6,-7.2,-2.21,-1.27,-0.39,-1.24,-0.38,9.56,2.93,中锐股份,002374
贸易行业,-0.92,-9.58,-1.59,-1.06,-0.18,-8.52,-1.41,-2.0,-0.33,11.14,1.84,商络电子,300975
