板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
玻璃玻纤,-2.47,-3.92,-2.49,-4.22,-2.67,0.3,0.19,1.74,1.1,1.74,1.1,国际复材,301526
装修建材,-2.42,-3.96,-3.55,-2.99,-2.68,-0.97,-0.87,0.03,0.02,3.83,3.43,顶固集创,300749
保险,-2.18,-4.03,-2.68,-6.9,-4.6,2.87,1.91,1.26,0.84,2.77,1.85,中国太保,601601
食品饮料,-1.57,-4.22,-1.86,-0.84,-0.37,-3.37,-1.49,-1.05,-0.46,4.73,2.09,伊利股份,600887
多元金融,-2.26,-4.62,-8.23,-2.31,-4.12,-2.31,-4.11,1.52,2.7,3.1,5.53,香溢融通,600830
物流行业,-2.14,-4.67,-4.77,-2.59,-2.65,-2.08,-2.12,2.0,2.04,2.55,2.6,万林物流,603117
橡胶制品,-3.37,-5.02,-5.95,-3.7,-4.39,-1.32,-1.56,1.85,2.19,2.54,3.01,青岛双星,000599
医疗器械,-2.2,-5.03,-2.64,-4.3,-2.26,-0.72,-0.38,2.84,1.49,1.65,0.87,赛诺医疗,688108
燃气,-3.27,-5.03,-7.62,-2.02,-3.07,-3.01,-4.55,-0.11,-0.17,4.97,7.53,中泰股份,300435
风电设备,-2.62,-5.24,-2.72,-3.49,-1.81,-1.75,-0.91,2.65,1.37,2.59,1.35,明阳智能,601615
环保行业,-1.78,-5.38,-2.99,-3.07,-1.71,-2.32,-1.29,2.54,1.41,2.7,1.5,盈峰环境,000967
通信服务,-1.42,-6.08,-2.85,-8.78,-4.12,2.7,1.27,6.31,2.97,-0.24,-0.11,线上线下,300959
石油行业,-4.94,-6.15,-4.68,-4.05,-3.08,-2.11,-1.6,-0.86,-0.65,7.01,5.33,中国石化,600028
煤炭行业,-6.09,-7.49,-3.97,-4.97,-2.64,-2.52,-1.34,4.71,2.5,2.78,1.48,电投能源,002128
塑料制品,-2.96,-7.57,-4.05,-5.0,-2.67,-2.57,-1.38,2.02,1.08,4.85,2.59,通达创智,001368
游戏,-3.03,-7.79,-3.72,-4.5,-2.15,-3.29,-1.57,0.36,0.17,7.44,3.55,世纪华通,002602
电源设备,-1.82,-8.11,-4.7,-6.39,-3.7,-1.72,-1.0,3.44,1.99,4.67,2.7,欧陆通,300870
航天航空,-1.92,-8.15,-2.28,-9.15,-2.55,1.0,0.28,5.73,1.6,2.47,0.69,航发动力,600893
电力行业,-1.39,-9.16,-2.84,-8.75,-2.72,-0.41,-0.13,8.09,2.51,1.07,0.33,晋控电力,000767
化纤行业,-4.84,-9.38,-6.66,-6.32,-4.49,-3.06,-2.17,-2.3,-1.63,11.65,8.27,双欣环保,001369
农药兽药,-4.99,-9.42,-7.46,-4.86,-3.85,-4.56,-3.61,3.36,2.66,5.73,4.54,广信股份,603599
航运港口,-3.03,-9.77,-8.06,-5.31,-4.38,-4.46,-3.68,3.94,3.25,5.18,4.27,海航科技,600751
计算机设备,-1.49,-9.9,-4.69,-7.37,-3.49,-2.52,-1.2,2.16,1.02,7.67,3.63,海康威视,002415
贵金属,-10.81,-10.39,-7.84,-7.91,-5.97,-2.48,-1.87,2.7,2.04,7.69,5.8,山金国际,000975
生物制品,-2.79,-10.52,-6.99,-6.3,-4.18,-4.22,-2.8,5.38,3.57,4.67,3.1,华兰疫苗,301207
贸易行业,-3.37,-10.88,-9.65,-6.54,-5.8,-4.34,-3.85,1.82,1.62,8.87,7.87,润欣科技,300493
电池,-2.35,-11.19,-2.4,-4.71,-1.01,-6.48,-1.39,4.54,0.97,5.86,1.26,亿纬锂能,300014
医疗服务,-1.89,-11.28,-6.4,-10.06,-5.71,-1.22,-0.69,3.56,2.02,7.73,4.38,通策医疗,600763
农牧饲渔,-3.49,-11.34,-3.25,-8.78,-2.52,-2.56,-0.73,-0.93,-0.27,11.46,3.29,牧原股份,002714
采掘行业,-7.52,-11.43,-8.85,-5.6,-4.33,-5.84,-4.52,-0.93,-0.72,11.72,9.07,海油工程,600583
通用设备,-1.89,-12.51,-2.0,-9.13,-1.46,-3.38,-0.54,6.67,1.06,4.0,0.64,五洲新春,603667
证券,-1.6,-12.88,-3.49,-14.37,-3.89,1.48,0.4,12.24,3.32,0.64,0.17,国泰海通,601211
房地产开发,-2.88,-12.96,-6.23,-8.25,-3.96,-4.71,-2.26,4.25,2.04,8.71,4.19,深深房Ａ,000029
电子化学品,-4.91,-13.29,-9.08,-7.65,-5.23,-5.64,-3.85,3.5,2.39,9.79,6.69,三孚新科,688359
光学光电子,-2.06,-13.82,-3.53,-8.69,-2.22,-5.13,-1.31,9.12,2.33,4.66,1.19,水晶光电,002273
钢铁行业,-5.64,-16.28,-7.22,-11.21,-4.98,-5.07,-2.25,7.34,3.26,8.88,3.94,马钢股份,600808
化学制药,-2.57,-16.48,-4.89,-12.33,-3.66,-4.15,-1.23,3.28,0.97,12.77,3.79,海翔药业,002099
化肥行业,-6.76,-17.84,-8.96,-10.06,-5.05,-7.78,-3.91,-2.54,-1.27,20.01,10.04,金正大,002470
汽车整车,-1.89,-22.06,-11.76,-15.39,-8.2,-6.67,-3.55,8.11,4.32,13.94,7.43,金龙汽车,600686
能源金属,-4.96,-22.29,-8.63,-12.63,-4.89,-9.66,-3.74,2.81,1.09,19.48,7.55,天华新能,300390
互联网服务,-1.9,-23.21,-1.93,-13.35,-1.11,-9.86,-0.82,2.57,0.21,20.6,1.71,遥望科技,002291
专用设备,-2.29,-26.87,-3.8,-16.51,-2.33,-10.36,-1.46,6.25,0.88,19.33,2.73,江钨装备,600397
工程建设,-2.5,-27.53,-9.4,-22.3,-7.61,-5.24,-1.79,13.84,4.73,13.77,4.7,中国核建,601611
化学原料,-5.31,-30.17,-8.77,-16.37,-4.76,-13.79,-4.01,1.4,0.41,28.01,8.14,侨源股份,301286
电子元件,-2.3,-33.63,-3.79,-26.09,-2.94,-7.54,-0.85,14.68,1.66,18.09,2.04,胜宏科技,300476
化学制品,-3.61,-34.93,-6.04,-19.79,-3.42,-15.13,-2.62,7.74,1.34,26.11,4.52,晶华新材,603683
文化传媒,-1.38,-35.03,-4.07,-20.59,-2.39,-14.44,-1.68,13.8,1.6,21.27,2.47,浙文互联,600986
软件开发,-2.31,-35.18,-4.45,-21.22,-2.68,-13.96,-1.76,11.56,1.46,22.82,2.88,中控技术,688777
消费电子,-1.93,-36.48,-5.06,-26.45,-3.67,-10.03,-1.39,14.2,1.97,22.12,3.07,立讯精密,002475
小金属,-5.17,-51.33,-7.07,-21.68,-2.99,-29.65,-4.08,-1.01,-0.14,52.32,7.2,西部材料,002149
有色金属,-5.92,-78.58,-8.4,-65.0,-6.95,-13.58,-1.45,9.46,1.01,69.12,7.39,华峰铝业,601702
通信设备,-2.21,-83.89,-4.45,-78.09,-4.14,-5.8,-0.31,52.12,2.76,30.53,1.62,新易盛,300502
半导体,-5.67,-179.57,-8.03,-118.81,-5.32,-60.77,-2.72,57.0,2.55,122.1,5.46,澜起科技,688008
