板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
电网设备,1.98,56.45,6.12,57.03,6.18,-0.58,-0.06,-14.1,-1.53,-41.54,-4.5,中超控股,002471
酿酒行业,1.23,14.13,3.48,10.66,2.62,3.47,0.85,-9.58,-2.36,-4.55,-1.12,贵州茅台,600519
银行,-0.26,11.54,2.77,9.75,2.34,1.79,0.43,-7.96,-1.91,-3.58,-0.86,工商银行,601398
专业服务,-1.21,3.39,3.99,2.53,2.98,0.86,1.01,0.02,0.02,-3.96,-4.67,电科院,300215
光伏设备,-0.84,1.36,0.19,-6.4,-0.92,7.76,1.11,6.93,1.0,-8.47,-1.22,亿晶光电,600537
铁路公路,-0.7,1.1,2.26,1.59,3.25,-0.48,-0.99,-0.99,-2.03,-0.11,-0.23,京沪高铁,601816
房地产服务,-1.21,-0.05,-0.13,1.44,4.24,-1.49,-4.38,-0.38,-1.12,0.43,1.25,群兴玩具,002575
航空机场,-1.13,-0.36,-0.55,-0.36,-0.55,-0.0,0.0,1.51,2.29,-1.15,-1.75,中国国航,601111
汽车服务,-1.48,-0.45,-3.82,-0.37,-3.09,-0.09,-0.72,0.25,2.14,0.07,0.58,阿尔特,300825
美容护理,-0.92,-0.48,-0.93,-0.73,-1.42,0.25,0.48,1.15,2.23,-0.67,-1.29,爱美客,300896
纺织服装,-1.38,-0.75,-0.54,0.74,0.54,-1.49,-1.08,-0.45,-0.32,1.14,0.82,三夫户外,002780
非金属材料,-2.52,-0.98,-0.48,-0.17,-0.08,-0.81,-0.4,1.57,0.77,-0.98,-0.48,黄河旋风,600172
公用事业,-1.58,-1.11,-2.72,-0.81,-1.99,-0.3,-0.74,0.69,1.7,0.42,1.03,联合水务,603291
旅游酒店,-1.4,-1.29,-1.05,0.2,0.17,-1.49,-1.22,-2.59,-2.11,3.87,3.16,宋城演艺,300144
造纸印刷,-2.81,-1.32,-2.05,-0.89,-1.38,-0.43,-0.67,0.5,0.78,0.62,0.96,岳阳林纸,600963
商业百货,-0.74,-1.46,-1.01,0.68,0.47,-2.14,-1.47,-0.21,-0.14,1.67,1.15,三江购物,601116
教育,-0.78,-1.46,-4.94,-0.58,-1.96,-0.88,-2.98,-0.11,-0.39,1.58,5.33,ST开元,300338
家用轻工,-1.21,-1.75,-2.75,0.0,0.0,-1.76,-2.75,0.36,0.57,1.36,2.13,珠江钢琴,002678
医药商业,-1.5,-1.78,-3.27,-1.34,-2.47,-0.44,-0.81,0.44,0.81,1.34,2.47,益丰药房,603939
水泥建材,-2.29,-1.94,-2.74,-0.21,-0.3,-1.73,-2.44,0.79,1.12,1.15,1.62,华新建材,600801
中药,-1.07,-2.07,-1.9,-0.54,-0.49,-1.53,-1.41,1.01,0.93,0.99,0.9,东阿阿胶,000423
船舶制造,-1.36,-2.24,-2.37,-1.87,-1.98,-0.37,-0.39,0.91,0.96,1.33,1.41,中国船舶,600150
电机,-1.58,-2.25,-2.84,-1.47,-1.86,-0.78,-0.98,1.93,2.44,0.23,0.29,卧龙电驱,600580
装修装饰,-1.24,-2.39,-3.14,-0.68,-0.89,-1.71,-2.25,-0.3,-0.39,2.6,3.42,名雕股份,002830
仪器仪表,-1.28,-2.44,-2.06,-0.64,-0.54,-1.81,-1.53,-0.83,-0.7,2.59,2.18,思看科技,688583
珠宝首饰,-5.03,-2.77,-7.0,-1.37,-3.46,-1.4,-3.54,-0.88,-2.22,3.64,9.21,金一文化,002721
交运设备,-1.83,-2.83,-3.36,-2.72,-3.24,-0.1,-0.12,3.67,4.37,-0.9,-1.07,时代电气,688187
家电行业,-1.51,-3.08,-0.98,-3.54,-1.13,0.46,0.15,1.17,0.37,1.77,0.56,美的集团,000333
汽车零部件,-1.7,-3.23,-0.49,-8.22,-1.24,4.99,0.75,5.58,0.84,-3.36,-0.51,山子高科,000981
工程咨询服务,-1.74,-3.32,-7.61,-1.46,-3.35,-1.86,-4.26,0.38,0.86,2.77,6.34,华蓝集团,301027
综合行业,-3.1,-3.34,-6.43,-2.48,-4.78,-0.86,-1.65,0.59,1.13,2.75,5.3,东阳光,600673
包装材料,-2.22,-3.75,-4.69,-3.61,-4.51,-0.14,-0.18,1.54,1.93,2.15,2.68,中锐股份,002374
工程机械,-3.04,-3.85,-3.54,-1.59,-1.46,-2.26,-2.08,3.01,2.77,-0.29,-0.27,大连重工,002204
