板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
通信设备,1.19,65.34,3.81,74.84,4.36,-9.5,-0.55,-58.65,-3.42,-4.45,-0.26,中际旭创,300308
电池,-0.07,10.88,1.86,7.9,1.35,2.98,0.51,-2.76,-0.47,-8.69,-1.49,宁德时代,300750
农牧饲渔,1.97,8.86,1.91,10.9,2.35,-2.04,-0.44,-4.01,-0.87,-4.02,-0.87,登海种业,002041
游戏,-0.29,1.75,0.77,1.32,0.58,0.43,0.19,-0.75,-0.33,-0.99,-0.44,顺网科技,300113
煤炭行业,0.71,1.73,0.78,4.02,1.8,-2.28,-1.02,2.7,1.21,-4.43,-1.99,大有能源,600403
造纸印刷,1.54,0.82,1.06,0.96,1.24,-0.14,-0.18,-0.36,-0.47,-0.47,-0.61,岳阳林纸,600963
贸易行业,-0.24,0.5,0.34,1.43,0.96,-0.93,-0.63,1.0,0.68,-1.68,-1.13,怡 亚 通,002183
农药兽药,0.89,0.48,0.37,-0.17,-0.13,0.65,0.5,-0.79,-0.61,0.45,0.35,回盛生物,300871
保险,-1.18,0.46,0.28,1.37,0.83,-0.91,-0.55,0.85,0.51,-1.31,-0.79,中国平安,601318
包装材料,0.63,0.22,0.39,0.75,1.34,-0.53,-0.96,-1.53,-2.74,1.23,2.2,顺灏股份,002565
玻璃玻纤,-0.24,0.18,0.1,-1.34,-0.76,1.52,0.87,1.74,0.99,-1.13,-0.65,中材科技,002080
汽车服务,-0.56,-0.23,-2.28,-0.11,-1.1,-0.12,-1.18,0.15,1.56,0.05,0.54,漳州发展,000753
公用事业,0.29,-0.36,-1.12,-0.24,-0.74,-0.12,-0.38,-0.06,-0.19,0.42,1.31,顺控发展,003039
工程机械,-0.16,-0.59,-0.52,1.14,1.01,-1.73,-1.53,-0.25,-0.22,0.68,0.6,华电科工,601226
工程咨询服务,0.17,-0.69,-1.6,-0.69,-1.6,0.0,0.0,-0.36,-0.84,0.67,1.54,深圳瑞捷,300977
铁路公路,0.12,-1.22,-2.65,-1.38,-3.0,0.16,0.34,0.1,0.22,1.12,2.44,海汽集团,603069
家用轻工,0.39,-1.49,-1.99,-1.09,-1.45,-0.4,-0.53,0.1,0.13,1.34,1.78,青岛金王,002094
航空机场,0.16,-1.53,-2.99,-1.51,-2.95,-0.02,-0.04,1.89,3.7,-0.37,-0.72,厦门空港,600897
美容护理,-0.57,-1.88,-4.02,-1.11,-2.37,-0.77,-1.65,1.07,2.3,0.81,1.72,倍加洁,603059
电机,0.31,-2.02,-2.09,-1.54,-1.6,-0.48,-0.49,1.33,1.38,0.7,0.73,卧龙电驱,600580
家电行业,-0.35,-2.12,-0.63,2.3,0.69,-4.42,-1.32,-2.73,-0.81,4.75,1.42,美的集团,000333
综合行业,-0.14,-2.45,-4.31,-0.98,-1.72,-1.48,-2.59,0.4,0.71,2.05,3.6,泰达股份,000652
专业服务,-0.54,-2.46,-3.24,-0.95,-1.25,-1.51,-1.99,-0.28,-0.37,2.24,2.94,信测标准,300938
旅游酒店,1.05,-2.58,-1.76,-2.47,-1.69,-0.1,-0.07,1.28,0.88,1.29,0.88,凯撒旅业,000796
装修装饰,1.09,-2.63,-2.99,-0.88,-1.0,-1.75,-1.99,-0.61,-0.69,3.24,3.69,亚翔集成,603929
塑料制品,0.78,-3.08,-1.32,1.11,0.48,-4.19,-1.8,-2.83,-1.22,5.77,2.48,东材科技,601208
食品饮料,-0.32,-3.17,-1.28,-1.64,-0.66,-1.54,-0.62,0.29,0.12,2.35,0.95,中粮糖业,600737
航运港口,-0.17,-3.19,-2.68,-2.61,-2.19,-0.58,-0.49,2.05,1.72,1.06,0.89,海峡股份,002320
房地产服务,-1.1,-3.57,-7.74,-2.48,-5.39,-1.08,-2.35,0.79,1.71,2.78,6.04,云南城投,600239
教育,-1.74,-3.67,-11.11,-1.29,-3.9,-2.38,-7.21,-0.02,-0.06,3.68,11.17,博通股份,600455
医药商业,-1.53,-3.8,-6.03,-0.87,-1.37,-2.94,-4.65,-0.43,-0.68,4.23,6.7,南京医药,600713
装修建材,-0.22,-4.01,-3.38,-3.18,-2.69,-0.82,-0.69,0.87,0.73,3.07,2.6,坚朗五金,002791
贵金属,-8.92,-4.17,-1.01,16.56,4.01,-20.73,-5.02,-6.66,-1.61,10.83,2.62,湖南黄金,002155
水泥建材,-0.46,-4.21,-6.25,-2.67,-3.97,-1.53,-2.28,-0.85,-1.26,5.06,7.51,华新建材,600801
橡胶制品,0.62,-4.21,-3.99,-1.8,-1.7,-2.42,-2.29,1.06,1.0,2.84,2.69,青岛双星,000599
纺织服装,0.95,-4.68,-3.57,-3.03,-2.31,-1.66,-1.26,1.84,1.4,2.79,2.12,华升股份,600156
多元金融,-1.55,-4.83,-8.26,-2.68,-4.59,-2.15,-3.67,2.26,3.87,2.57,4.39,弘业期货,001236
通信服务,-0.5,-5.03,-2.79,-6.8,-3.77,1.77,0.98,2.27,1.26,2.76,1.53,中国卫通,601698
仪器仪表,0.54,-5.17,-4.29,-3.52,-2.92,-1.65,-1.37,-1.6,-1.33,6.12,5.08,思看科技,688583
交运设备,0.03,-5.19,-6.08,-2.61,-3.05,-2.59,-3.03,1.11,1.3,4.03,4.72,工大高科,688367
非金属材料,-1.76,-5.32,-2.42,-1.94,-0.88,-3.38,-1.54,-2.82,-1.29,7.03,3.2,天通股份,600330
物流行业,0.45,-5.52,-5.38,-3.41,-3.32,-2.11,-2.06,1.95,1.9,3.58,3.49,西部创业,000557
燃气,-1.6,-5.58,-6.7,-3.02,-3.63,-2.56,-3.07,-0.54,-0.65,5.81,6.97,升达林业,002259
电力行业,-0.13,-5.94,-1.75,-6.19,-1.83,0.25,0.07,0.78,0.23,5.16,1.52,长江电力,600900
化纤行业,0.11,-6.0,-5.07,-3.75,-3.17,-2.25,-1.91,0.81,0.68,5.21,4.4,桐昆股份,601233
化学制药,-0.58,-6.01,-1.78,-1.75,-0.52,-4.26,-1.26,0.76,0.23,4.89,1.45,常山药业,300255
电子化学品,1.06,-6.02,-3.31,-3.57,-1.97,-2.44,-1.34,-0.21,-0.12,6.23,3.43,飞凯材料,300398
中药,-0.36,-6.24,-5.35,-2.49,-2.13,-3.76,-3.22,1.11,0.95,5.12,4.39,东阿阿胶,000423
生物制品,-0.92,-6.41,-3.94,-3.21,-1.97,-3.2,-1.97,3.49,2.15,2.13,1.31,益方生物-U,688382
商业百货,-0.65,-6.42,-4.45,-2.43,-1.69,-3.99,-2.77,2.42,1.68,4.0,2.78,茂业商业,600828
工程建设,0.59,-6.51,-1.97,5.09,1.54,-11.6,-3.5,-3.69,-1.11,10.22,3.09,太极实业,600667
船舶制造,-1.01,-6.76,-5.94,-4.6,-4.04,-2.17,-1.91,2.38,2.09,4.39,3.86,海兰信,300065
珠宝首饰,-4.6,-7.51,-6.01,-5.1,-4.08,-2.41,-1.93,-1.37,-1.09,8.88,7.11,菜百股份,605599
专用设备,0.36,-7.55,-0.94,0.93,0.12,-8.48,-1.06,-9.33,-1.16,15.39,1.92,英维克,002837
医疗器械,-0.67,-8.32,-3.97,-3.11,-1.48,-5.21,-2.48,0.84,0.4,7.11,3.39,华大基因,300676
电源设备,-0.19,-8.87,-4.52,-2.72,-1.39,-6.15,-3.13,-0.56,-0.29,9.43,4.8,欧陆通,300870
风电设备,-1.39,-8.98,-4.16,-6.06,-2.81,-2.93,-1.36,-1.11,-0.51,10.09,4.68,飞沃科技,301232
石油行业,-1.17,-9.34,-4.26,-4.53,-2.06,-4.81,-2.19,0.52,0.24,8.82,4.02,中国石油,601857
环保行业,0.15,-9.73,-4.94,-4.75,-2.41,-4.98,-2.53,-0.25,-0.13,9.95,5.05,东湖高新,600133
银行,-0.41,-11.53,-2.96,-3.54,-0.91,-7.98,-2.05,-0.26,-0.07,11.78,3.03,宁波银行,002142
医疗服务,-0.71,-12.12,-6.03,-11.54,-5.74,-0.59,-0.29,3.04,1.51,9.09,4.52,泰格医药,300347
化学原料,-0.02,-12.76,-3.55,-9.62,-2.68,-3.13,-0.87,1.54,0.43,10.78,3.0,卫星化学,002648
采掘行业,-5.53,-13.55,-5.25,-8.24,-3.19,-5.31,-2.06,4.89,1.9,7.14,2.77,海油发展,600968
汽车零部件,0.43,-13.68,-1.97,-9.89,-1.43,-3.79,-0.55,1.5,0.22,12.05,1.74,潍柴动力,000338
