板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
汽车整车,-1.25,-16.14,-9.0,-11.47,-6.4,-4.67,-2.6,6.82,3.81,9.32,5.2,江淮汽车,600418
钢铁行业,-1.98,-16.41,-6.65,-8.94,-3.63,-7.47,-3.03,4.66,1.89,11.97,4.85,马钢股份,600808
证券,-1.72,-17.34,-4.78,-17.84,-4.91,0.5,0.14,14.54,4.01,2.8,0.77,中信证券,600030
通用设备,0.29,-18.09,-2.78,-6.82,-1.05,-11.27,-1.73,-5.1,-0.79,21.69,3.34,绿的谐波,688017
电子元件,0.53,-18.17,-1.96,-5.38,-0.58,-12.79,-1.38,-5.39,-0.58,23.32,2.52,胜宏科技,300476
房地产开发,-1.69,-18.43,-7.23,-14.21,-5.58,-4.22,-1.65,7.05,2.77,11.38,4.46,深深房Ａ,000029
消费电子,0.4,-19.01,-2.56,-8.1,-1.09,-10.91,-1.47,-1.47,-0.2,20.47,2.75,深科技,000021
化肥行业,-0.45,-20.74,-9.66,-14.08,-6.56,-6.66,-3.1,0.79,0.37,19.94,9.28,红四方,603395
计算机设备,-0.87,-20.8,-8.07,-13.75,-5.34,-7.05,-2.73,1.55,0.6,19.26,7.47,智微智能,001339
航天航空,-1.51,-21.19,-4.9,-11.45,-2.65,-9.74,-2.25,2.76,0.64,17.64,4.08,北摩高科,002985
光学光电子,0.05,-21.34,-4.69,-9.34,-2.05,-12.0,-2.64,6.11,1.34,15.19,3.34,亚世光电,002952
化学制品,0.44,-23.3,-3.77,-12.59,-2.04,-10.71,-1.73,3.63,0.59,19.36,3.13,兄弟科技,002562
酿酒行业,-2.8,-23.71,-5.17,-14.08,-3.07,-9.62,-2.1,9.33,2.03,14.37,3.13,金枫酒业,600616
半导体,0.83,-36.38,-1.49,-20.25,-0.83,-16.13,-0.66,4.17,0.17,32.18,1.31,澜起科技,688008
电网设备,-0.28,-36.78,-6.22,-19.08,-3.23,-17.7,-2.99,-3.9,-0.66,40.17,6.79,国电南瑞,600406
文化传媒,0.36,-38.95,-4.16,-36.91,-3.95,-2.04,-0.22,18.36,1.96,20.63,2.2,引力传媒,603598
光伏设备,-2.12,-44.65,-5.29,-15.35,-1.82,-29.3,-3.47,-5.46,-0.65,49.94,5.92,阳光电源,300274
能源金属,-7.29,-49.89,-13.98,-34.72,-9.73,-15.17,-4.25,13.32,3.73,36.57,10.25,威领股份,002667
软件开发,-1.82,-60.56,-6.94,-40.71,-4.67,-19.86,-2.28,9.72,1.11,48.44,5.55,云天励飞-U,688343
互联网服务,-1.32,-61.9,-5.04,-40.95,-3.34,-20.95,-1.71,13.02,1.06,48.31,3.94,城地香江,603887
小金属,-5.39,-78.08,-8.99,-52.76,-6.08,-25.32,-2.92,12.57,1.45,65.33,7.52,西部材料,002149
有色金属,-5.42,-100.49,-7.39,-75.65,-5.56,-24.83,-1.83,14.4,1.06,85.91,6.32,宏达股份,600331
