板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
电池,1.91,27.5,1.19,29.18,1.27,-1.68,-0.07,-25.72,-1.12,-2.83,-0.12,宁德时代,300750
酿酒行业,0.68,26.77,1.54,20.28,1.17,6.5,0.37,-38.5,-2.22,11.73,0.68,贵州茅台,600519
银行,2.29,22.49,1.32,23.44,1.37,-0.95,-0.06,-23.19,-1.36,0.7,0.04,招商银行,600036
光伏设备,6.77,16.12,0.33,38.52,0.8,-22.41,-0.46,-20.86,-0.43,5.4,0.11,晶科能源,688223
煤炭行业,-0.97,10.04,1.09,16.91,1.83,-6.87,-0.74,-4.09,-0.44,-5.95,-0.64,兖矿能源,600188
专业服务,0.51,4.34,0.97,3.07,0.68,1.28,0.28,-2.0,-0.45,-3.19,-0.71,航天工程,603698
航空机场,4.13,2.88,0.79,-0.33,-0.09,3.21,0.88,0.74,0.2,-3.62,-0.99,中国东航,600115
综合行业,-1.04,2.51,1.05,3.23,1.35,-0.73,-0.3,-3.1,-1.3,0.6,0.25,东阳光,600673
保险,-2.36,2.38,0.43,-5.19,-0.94,7.57,1.37,1.43,0.26,-3.81,-0.69,中国平安,601318
纺织服装,2.59,1.68,0.26,5.02,0.78,-3.34,-0.52,-5.49,-0.85,3.88,0.6,真爱美家,003041
船舶制造,3.37,1.38,0.21,7.72,1.16,-6.33,-0.95,-0.19,-0.03,-1.19,-0.18,中国船舶,600150
铁路公路,0.44,1.25,0.61,2.72,1.33,-1.47,-0.72,-2.42,-1.19,1.17,0.58,京沪高铁,601816
房地产服务,3.9,0.42,0.2,3.89,1.88,-3.48,-1.68,-3.21,-1.54,2.79,1.34,群兴玩具,002575
石油行业,-1.91,0.38,0.07,0.99,0.17,-0.61,-0.11,-6.2,-1.08,5.82,1.01,洲际油气,600759
中药,2.85,0.14,0.02,5.08,0.78,-4.94,-0.76,-2.98,-0.46,2.94,0.45,特一药业,002728
物流行业,0.31,-0.15,-0.03,-3.4,-0.71,3.24,0.67,3.03,0.63,-3.05,-0.63,顺丰控股,002352
旅游酒店,0.37,-0.43,-0.07,1.47,0.25,-1.89,-0.32,-3.35,-0.56,3.78,0.63,中国中免,601888
汽车服务,-0.06,-0.69,-1.46,-0.53,-1.13,-0.16,-0.33,0.67,1.41,-0.27,-0.56,阿尔特,300825
工程机械,0.07,-1.1,-0.18,4.56,0.75,-5.65,-0.93,-2.3,-0.38,2.35,0.39,三一重工,600031
包装材料,0.99,-1.19,-0.29,0.77,0.19,-1.97,-0.48,-4.38,-1.08,5.67,1.4,顺灏股份,002565
美容护理,2.66,-1.4,-0.49,-2.85,-1.0,1.45,0.51,3.21,1.13,-1.81,-0.64,爱美客,300896
