板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
造纸印刷,-0.12,-1.44,-0.53,-0.17,-0.06,-1.27,-0.46,0.86,0.31,0.22,0.08,京华激光,603607
交运设备,0.74,-1.74,-0.5,-1.23,-0.36,-0.51,-0.15,4.15,1.19,-2.48,-0.72,中国中车,601766
教育,1.66,-2.23,-1.76,-0.32,-0.25,-1.91,-1.51,-0.94,-0.74,3.16,2.5,中国高科,600730
食品饮料,0.14,-2.89,-0.27,4.85,0.45,-7.74,-0.72,-9.01,-0.83,9.83,0.91,伊利股份,600887
玻璃玻纤,1.61,-3.37,-0.38,-1.97,-0.22,-1.4,-0.16,-0.3,-0.03,6.04,0.68,金晶科技,600586
家用轻工,1.34,-3.51,-1.16,-1.0,-0.33,-2.51,-0.83,0.27,0.09,3.1,1.03,马可波罗,001386
装修建材,1.55,-3.76,-0.69,-1.62,-0.3,-2.13,-0.39,-5.03,-0.93,8.61,1.59,北新建材,000786
医疗器械,-0.14,-4.16,-0.5,-6.88,-0.82,2.72,0.32,7.69,0.92,-4.4,-0.53,C北芯-U,688712
水泥建材,1.77,-4.89,-1.53,0.74,0.23,-5.64,-1.77,0.45,0.14,4.44,1.39,华新建材,600801
公用事业,-2.39,-4.92,-3.22,-2.47,-1.62,-2.45,-1.6,-0.75,-0.49,5.67,3.71,兴蓉环境,000598
塑料制品,-1.06,-5.28,-0.59,8.53,0.95,-13.82,-1.53,-8.13,-0.9,12.18,1.35,神剑股份,002361
工程咨询服务,-0.5,-5.36,-2.73,-2.52,-1.28,-2.84,-1.44,0.43,0.22,4.27,2.17,百利科技,603959
医疗服务,0.54,-5.41,-0.62,-10.11,-1.16,4.71,0.54,3.98,0.45,1.43,0.16,泰格医药,300347
医药商业,0.3,-6.05,-2.02,-3.3,-1.1,-2.76,-0.92,2.17,0.73,3.88,1.3,鹭燕医药,002788
汽车零部件,0.62,-6.4,-0.2,-11.69,-0.37,5.29,0.17,13.46,0.42,-8.83,-0.28,斯菱智驱,301550
商业百货,1.95,-7.29,-0.84,1.82,0.21,-9.11,-1.05,-2.28,-0.26,9.57,1.1,新华百货,600785
橡胶制品,-1.73,-7.71,-2.21,-6.42,-1.85,-1.28,-0.37,2.91,0.84,3.74,1.07,科创新源,300731
仪器仪表,-0.03,-7.88,-1.5,-4.1,-0.78,-3.78,-0.72,-3.04,-0.58,9.16,1.74,禾信仪器,688622
航运港口,-1.37,-8.12,-1.63,-4.69,-0.94,-3.43,-0.69,0.11,0.02,6.97,1.4,招商轮船,601872
家电行业,0.42,-8.89,-0.63,-4.33,-0.31,-4.56,-0.32,-3.72,-0.26,12.13,0.86,美的集团,000333
装修装饰,0.7,-9.23,-2.55,-3.06,-0.84,-6.17,-1.7,0.38,0.1,8.64,2.38,名雕股份,002830
非金属材料,0.15,-9.72,-0.97,-2.64,-0.26,-7.08,-0.71,-1.12,-0.11,10.28,1.02,沃尔核材,002130
电网设备,3.32,-9.91,-0.25,45.68,1.13,-55.59,-1.38,-22.9,-0.57,32.59,0.81,中超控股,002471
电机,-0.64,-10.1,-2.69,-5.51,-1.47,-4.59,-1.22,3.93,1.05,6.13,1.63,兆威机电,003021
燃气,-1.51,-10.36,-3.93,-4.27,-1.62,-6.09,-2.31,-1.96,-0.74,12.04,4.57,万憬能源,002700
多元金融,-0.72,-10.92,-4.31,-4.17,-1.64,-6.76,-2.66,1.34,0.53,9.58,3.78,渤海租赁,000415
电力行业,0.29,-14.42,-1.08,-7.89,-0.59,-6.53,-0.49,-1.65,-0.12,16.07,1.2,协鑫能科,002015
环保行业,0.47,-14.53,-1.87,-8.89,-1.14,-5.64,-0.73,3.88,0.5,10.46,1.35,惠城环保,300779
珠宝首饰,-1.34,-15.28,-5.2,-5.46,-1.86,-9.82,-3.34,-1.0,-0.34,16.28,5.54,潮宏基,002345
汽车整车,1.89,-15.38,-2.0,-9.75,-1.27,-5.62,-0.73,2.49,0.32,12.89,1.67,赛力斯,601127
采掘行业,-3.17,-16.06,-2.43,-4.89,-0.74,-11.17,-1.69,-5.55,-0.84,20.99,3.18,广东宏大,002683
生物制品,-0.13,-16.28,-2.32,-12.57,-1.79,-3.71,-0.53,5.18,0.74,10.6,1.51,舒泰神,300204
化纤行业,-1.52,-16.35,-3.29,-6.25,-1.26,-10.1,-2.04,-0.99,-0.2,17.14,3.45,皖维高新,600063
房地产开发,0.78,-17.66,-1.81,-9.63,-0.98,-8.03,-0.82,-0.22,-0.02,17.87,1.83,卧龙新能,600173
计算机设备,0.19,-17.89,-1.81,-17.99,-1.82,0.1,0.01,6.83,0.69,10.86,1.1,海康威视,002415
农药兽药,-2.89,-18.03,-4.11,-9.24,-2.11,-8.79,-2.0,3.93,0.9,13.58,3.09,红太阳,000525
钢铁行业,-2.82,-18.25,-2.3,-12.51,-1.58,-5.74,-0.72,4.06,0.51,13.93,1.76,广东明珠,600382
风电设备,-1.06,-19.94,-1.94,-10.13,-0.99,-9.81,-0.96,0.46,0.04,19.48,1.9,中船科技,600072
化学制药,0.62,-20.37,-1.38,-12.42,-0.84,-7.96,-0.54,1.05,0.07,18.94,1.28,广生堂,300436
化肥行业,-4.25,-21.29,-3.16,-15.26,-2.26,-6.03,-0.9,-4.21,-0.62,24.72,3.67,金正大,002470
通用设备,-0.21,-21.71,-0.73,0.02,0.0,-21.73,-0.73,-1.35,-0.05,17.21,0.58,五洲新春,603667
电源设备,-1.69,-22.96,-2.77,-13.73,-1.66,-9.23,-1.11,0.0,0.0,22.96,2.77,ST华西,002630
航天航空,0.83,-23.71,-1.1,-9.96,-0.46,-13.74,-0.64,2.25,0.1,20.77,0.96,航发动力,600893
贸易行业,-2.56,-24.75,-5.65,-11.35,-2.59,-13.4,-3.06,0.33,0.08,24.1,5.51,苏美达,600710
通信服务,0.22,-24.98,-2.94,-17.05,-2.01,-7.93,-0.93,4.34,0.51,20.64,2.43,二六三,002467
电子化学品,-4.39,-26.38,-4.41,-15.42,-2.58,-10.96,-1.83,7.0,1.17,19.38,3.24,广钢气体,688548
化学制品,-0.48,-27.67,-1.15,4.29,0.18,-31.97,-1.32,-16.62,-0.69,43.04,1.78,永太科技,002326
农牧饲渔,-2.92,-31.81,-2.36,-12.67,-0.94,-19.15,-1.42,-5.59,-0.41,34.8,2.58,平潭发展,000592
游戏,-2.03,-32.02,-3.15,-21.24,-2.09,-10.78,-1.06,3.33,0.33,28.69,2.82,完美世界,002624
光学光电子,-0.06,-35.93,-1.77,-13.53,-0.67,-22.4,-1.1,8.35,0.41,27.53,1.36,水晶光电,002273
证券,-0.39,-39.05,-2.64,-28.87,-1.95,-10.18,-0.69,12.8,0.86,26.25,1.77,中银证券,601696
化学原料,-2.39,-42.02,-3.43,-17.36,-1.42,-24.66,-2.01,0.52,0.04,40.77,3.33,山东海化,000822
工程建设,-1.57,-43.1,-3.88,-31.56,-2.84,-11.54,-1.04,14.15,1.27,28.86,2.6,四川路桥,600039
能源金属,-3.5,-47.77,-4.79,-28.95,-2.9,-18.82,-1.89,10.75,1.08,37.02,3.71,天华新能,300390
专用设备,0.23,-58.43,-1.68,-25.74,-0.74,-32.69,-0.94,4.16,0.12,55.05,1.58,燕麦科技,688312
小金属,-3.49,-86.8,-3.07,-40.82,-1.44,-45.99,-1.63,-10.44,-0.37,97.05,3.43,博迁新材,605376
电子元件,-1.38,-95.92,-2.38,-52.04,-1.29,-43.88,-1.09,10.29,0.26,84.01,2.08,杉杉股份,600884
消费电子,-0.46,-96.56,-2.89,-57.6,-1.73,-38.96,-1.17,14.07,0.42,81.63,2.45,环旭电子,601231
软件开发,-2.23,-112.74,-3.24,-58.17,-1.67,-54.57,-1.57,24.89,0.72,84.49,2.43,中控技术,688777
贵金属,-18.37,-121.66,-6.5,-78.0,-4.17,-43.66,-2.33,14.11,0.75,107.55,5.75,恒邦股份,002237
文化传媒,-1.54,-158.38,-4.2,-88.08,-2.34,-70.3,-1.86,22.19,0.59,135.73,3.6,分众传媒,002027
互联网服务,-1.83,-196.78,-3.42,-71.4,-1.24,-125.38,-2.18,8.62,0.15,187.96,3.27,数据港,603881
有色金属,-6.49,-270.56,-5.85,-177.84,-3.84,-92.72,-2.0,26.72,0.58,243.7,5.27,鑫铂股份,003038
通信设备,-0.61,-305.96,-3.64,-183.14,-2.18,-122.82,-1.46,148.18,1.76,155.48,1.85,银河电子,002519
半导体,-6.22,-333.49,-3.64,-295.3,-3.22,-38.2,-0.42,98.11,1.07,234.76,2.56,北方华创,002371
