板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
综合行业,-5.21,-15.02,-4.7,-8.0,-2.5,-7.02,-2.2,2.01,0.63,13.0,4.07,浙江东日,600113
旅游酒店,-1.34,-15.91,-2.72,-6.84,-1.17,-9.07,-1.55,1.66,0.28,14.25,2.44,宋城演艺,300144
多元金融,-4.87,-16.55,-5.22,-9.56,-3.02,-6.99,-2.21,4.87,1.54,11.68,3.69,渤海租赁,000415
石油行业,-3.19,-16.57,-1.72,-8.24,-0.86,-8.32,-0.87,11.68,1.21,4.89,0.51,中国石油,601857
采掘行业,-0.72,-18.34,-2.0,-8.58,-0.93,-9.76,-1.06,3.88,0.42,14.49,1.58,海油发展,600968
医药商业,-7.28,-18.68,-4.69,-6.84,-1.72,-11.84,-2.97,0.42,0.11,18.25,4.59,益丰药房,603939
燃气,-4.84,-19.61,-4.72,-8.6,-2.07,-11.01,-2.65,-0.93,-0.22,19.98,4.81,升达林业,002259
化纤行业,-5.33,-21.78,-3.51,-13.78,-2.22,-8.0,-1.29,3.98,0.64,17.21,2.77,新凤鸣,603225
仪器仪表,-4.06,-21.87,-3.32,-12.73,-1.93,-9.14,-1.39,0.23,0.03,18.0,2.73,真兰仪表,301303
房地产开发,-3.12,-22.0,-1.83,-8.33,-0.69,-13.67,-1.14,4.32,0.36,17.68,1.47,保利发展,600048
商业百货,-3.06,-23.2,-3.25,-9.73,-1.36,-13.47,-1.89,4.01,0.56,19.19,2.69,茂业商业,600828
航运港口,-2.1,-25.46,-4.18,-18.14,-2.98,-7.32,-1.2,15.93,2.61,9.17,1.5,中远海能,600026
电源设备,-5.17,-25.9,-2.48,-13.84,-1.33,-12.06,-1.16,-12.9,-1.24,38.81,3.72,C恒运昌,688785
电机,-5.51,-27.44,-5.45,-14.42,-2.86,-13.03,-2.59,3.67,0.73,23.09,4.59,正弦电气,688395
中药,-4.93,-29.1,-4.24,-11.66,-1.7,-17.44,-2.54,8.0,1.17,20.86,3.04,东阿阿胶,000423
环保行业,-3.26,-29.42,-3.05,-14.87,-1.54,-14.55,-1.51,8.03,0.83,21.14,2.19,东湖高新,600133
交运设备,-4.35,-30.96,-6.73,-23.25,-5.05,-7.71,-1.68,13.83,3.01,16.86,3.67,工大高科,688367
证券,-3.05,-31.7,-1.66,-42.6,-2.24,10.9,0.57,32.58,1.71,-0.88,-0.05,中信证券,600030
医疗服务,-5.37,-35.55,-3.44,-29.57,-2.86,-5.97,-0.58,9.85,0.95,25.69,2.49,通策医疗,600763
钢铁行业,-7.31,-37.63,-3.11,-21.21,-1.75,-16.42,-1.36,14.57,1.2,23.01,1.9,海南矿业,601969
风电设备,-6.34,-37.99,-3.19,-21.93,-1.84,-16.06,-1.35,-0.87,-0.07,38.87,3.27,飞沃科技,301232
非金属材料,-6.64,-38.18,-3.09,-19.37,-1.57,-18.82,-1.52,-1.59,-0.13,38.04,3.08,黄河旋风,600172
塑料制品,-4.64,-39.22,-3.47,-16.89,-1.49,-22.32,-1.97,-0.12,-0.01,37.7,3.33,神剑股份,002361
化学原料,-4.89,-41.44,-2.33,-25.65,-1.44,-15.79,-0.89,-1.18,-0.07,41.28,2.32,宝丰能源,600989
电子化学品,-6.26,-42.14,-4.63,-27.61,-3.03,-14.52,-1.6,10.9,1.2,31.24,3.43,宏昌电子,603002
文化传媒,0.89,-48.25,-1.13,-1.26,-0.03,-46.99,-1.1,-5.12,-0.12,55.3,1.3,省广集团,002400
医疗器械,-6.66,-52.38,-4.0,-29.73,-2.27,-22.65,-1.73,14.05,1.07,35.56,2.72,三友医疗,688085
生物制品,-8.37,-54.31,-5.68,-28.35,-2.97,-25.96,-2.72,22.63,2.37,28.47,2.98,荣昌生物,688331
家电行业,-4.24,-58.1,-3.44,-26.32,-1.56,-31.78,-1.88,-3.1,-0.18,60.51,3.58,美的集团,000333
电力行业,-3.19,-59.11,-3.48,-57.28,-3.37,-1.83,-0.11,12.37,0.73,46.75,2.75,长江电力,600900
光学光电子,-4.2,-60.51,-2.56,-32.13,-1.36,-28.38,-1.2,23.79,1.01,36.59,1.55,三安光电,600703
汽车整车,-4.45,-62.1,-6.09,-37.08,-3.63,-25.01,-2.45,17.71,1.74,44.39,4.35,江淮汽车,600418
化肥行业,-7.57,-65.54,-6.27,-40.38,-3.86,-25.17,-2.41,-2.03,-0.19,66.62,6.37,云图控股,002539
航天航空,-4.59,-70.07,-2.96,-51.92,-2.2,-18.15,-0.77,15.43,0.65,53.33,2.26,航发动力,600893
化学制药,-6.83,-71.36,-3.93,-41.97,-2.31,-29.4,-1.62,7.76,0.43,60.93,3.36,海翔药业,002099
计算机设备,-5.17,-79.06,-5.94,-56.0,-4.2,-23.07,-1.73,18.03,1.35,60.95,4.58,海康威视,002415
工程建设,-3.5,-90.54,-5.14,-86.71,-4.92,-3.83,-0.22,43.99,2.5,46.64,2.65,太极实业,600667
化学制品,-4.32,-93.39,-3.11,-36.27,-1.21,-57.12,-1.9,4.23,0.14,87.23,2.9,浙江龙盛,600352
贵金属,1.03,-96.08,-4.34,-40.44,-1.83,-55.64,-2.51,16.92,0.76,79.16,3.58,山金国际,000975
能源金属,-12.74,-96.81,-6.07,-54.36,-3.41,-42.46,-2.66,22.55,1.41,74.26,4.66,威领股份,002667
专用设备,-4.7,-101.58,-2.53,-55.03,-1.37,-46.55,-1.16,12.07,0.3,84.19,2.1,英维克,002837
互联网服务,-2.85,-103.01,-1.52,-50.89,-0.75,-52.13,-0.77,9.43,0.14,93.36,1.38,网宿科技,300017
电网设备,-2.96,-111.92,-3.0,-33.73,-0.9,-78.19,-2.1,-7.45,-0.2,115.59,3.1,中超控股,002471
光伏设备,-4.38,-118.22,-2.57,-56.97,-1.24,-61.25,-1.33,23.55,0.51,93.29,2.03,捷佳伟创,300724
电池,-7.6,-119.81,-4.36,-57.42,-2.09,-62.39,-2.27,28.03,1.02,87.7,3.19,诺德股份,600110
软件开发,-4.93,-123.46,-2.66,-64.24,-1.38,-59.23,-1.28,18.57,0.4,98.82,2.13,云赛智联,600602
通用设备,-4.61,-123.52,-3.71,-62.15,-1.87,-61.37,-1.84,7.76,0.23,108.63,3.26,绿的谐波,688017
汽车零部件,-4.91,-129.25,-3.62,-76.78,-2.15,-52.48,-1.47,13.81,0.39,111.63,3.13,航天科技,000901
小金属,-7.6,-143.77,-3.15,-69.02,-1.51,-74.75,-1.64,-3.48,-0.08,146.81,3.22,西部材料,002149
电子元件,-4.29,-153.38,-3.16,-87.54,-1.8,-65.84,-1.35,17.37,0.36,133.54,2.75,东山精密,002384
消费电子,-4.0,-198.13,-4.98,-137.23,-3.45,-60.9,-1.53,46.48,1.17,151.22,3.8,环旭电子,601231
有色金属,-7.15,-266.27,-3.57,-167.96,-2.25,-98.31,-1.32,17.87,0.24,248.21,3.33,北方铜业,000737
半导体,-3.18,-390.0,-2.92,-269.49,-2.02,-120.51,-0.9,124.81,0.93,264.67,1.98,寒武纪-U,688256
