板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
酿酒行业,3.82,59.58,3.09,59.91,3.11,-0.33,-0.02,-43.92,-2.28,-15.66,-0.81,贵州茅台,600519
银行,0.83,50.79,2.36,27.67,1.29,23.11,1.08,-36.01,-1.68,-14.78,-0.69,工商银行,601398
保险,1.71,16.97,1.75,20.63,2.13,-3.66,-0.38,-9.44,-0.98,-7.53,-0.78,中国平安,601318
玻璃玻纤,-0.78,9.41,1.03,4.95,0.54,4.45,0.49,5.96,0.65,-13.78,-1.51,C振石,601112
通信设备,-2.08,9.24,0.11,57.82,0.71,-48.58,-0.59,-69.38,-0.85,60.25,0.74,天孚通信,300394
铁路公路,-0.88,2.12,0.95,2.77,1.25,-0.66,-0.3,-2.65,-1.2,0.54,0.24,京沪高铁,601816
房地产服务,-1.59,0.24,0.13,3.77,2.02,-3.53,-1.89,-1.91,-1.03,1.67,0.9,群兴玩具,002575
汽车服务,-4.91,-1.72,-3.14,-1.01,-1.84,-0.71,-1.3,0.78,1.42,0.72,1.32,阿尔特,300825
公用事业,-1.99,-2.58,-1.73,-1.66,-1.11,-0.92,-0.62,0.9,0.6,1.68,1.13,金房能源,001210
农牧饲渔,-1.77,-2.97,-0.18,11.06,0.66,-14.04,-0.84,-5.25,-0.32,9.08,0.54,农发种业,600313
家用轻工,-1.23,-3.12,-0.96,1.13,0.35,-4.25,-1.31,0.31,0.1,2.63,0.81,马可波罗,001386
煤炭行业,-3.12,-4.87,-0.51,4.05,0.43,-8.92,-0.94,11.6,1.23,-6.73,-0.71,陕西黑猫,601015
造纸印刷,-2.89,-5.7,-1.75,-1.43,-0.44,-4.27,-1.31,1.54,0.47,2.95,0.9,岳阳林纸,600963
美容护理,-4.31,-6.03,-2.5,-3.7,-1.53,-2.34,-0.97,1.55,0.64,4.48,1.86,爱美客,300896
教育,-3.88,-6.47,-3.67,-1.13,-0.64,-5.35,-3.03,-0.57,-0.32,7.04,4.0,行动教育,605098
航空机场,-3.11,-6.63,-2.29,-2.91,-1.01,-3.72,-1.29,7.46,2.58,-0.83,-0.29,中国国航,601111
水泥建材,-3.42,-7.1,-2.11,0.99,0.29,-8.09,-2.41,-2.26,-0.67,9.37,2.78,四川金顶,600678
专业服务,-3.17,-7.34,-1.75,-2.76,-0.66,-4.58,-1.09,0.35,0.08,5.45,1.3,电科院,300215
珠宝首饰,-5.99,-7.6,-1.69,-0.69,-0.15,-6.91,-1.54,-5.16,-1.15,12.76,2.84,金一文化,002721
包装材料,-4.11,-7.67,-2.39,-5.26,-1.64,-2.41,-0.75,-1.63,-0.51,9.1,2.83,珠海中富,000659
贸易行业,-2.65,-7.7,-1.25,-1.07,-0.17,-6.63,-1.07,-1.3,-0.21,8.61,1.39,商络电子,300975
通信服务,-3.78,-8.75,-0.86,-12.63,-1.24,3.88,0.38,6.92,0.68,1.83,0.18,中国电信,601728
工程机械,-4.18,-9.01,-1.41,-3.47,-0.54,-5.54,-0.87,0.97,0.15,6.66,1.04,海伦哲,300201
装修建材,-2.26,-9.47,-1.58,-7.22,-1.21,-2.25,-0.38,-0.35,-0.06,8.42,1.41,青龙管业,002457
橡胶制品,-3.65,-9.89,-2.22,-6.47,-1.46,-3.42,-0.77,3.88,0.87,4.62,1.04,青岛双星,000599
工程咨询服务,-3.99,-10.22,-4.25,-3.28,-1.37,-6.94,-2.89,0.94,0.39,8.29,3.45,华图山鼎,300492
游戏,-3.4,-10.5,-1.05,-5.11,-0.51,-5.39,-0.54,-1.73,-0.17,12.23,1.22,完美世界,002624
纺织服装,-1.64,-10.54,-1.63,-3.45,-0.54,-7.09,-1.1,2.18,0.34,8.19,1.27,哈森股份,603958
食品饮料,-2.59,-11.72,-1.05,-3.37,-0.3,-8.35,-0.75,1.73,0.16,9.58,0.86,李子园,605337
物流行业,-3.2,-12.37,-2.48,-6.7,-1.34,-5.66,-1.13,1.19,0.24,11.08,2.22,中国外运,601598
船舶制造,-5.18,-13.94,-2.87,-10.54,-2.17,-3.4,-0.7,3.77,0.78,10.17,2.1,海兰信,300065
装修装饰,-2.75,-14.71,-3.42,-11.07,-2.57,-3.64,-0.85,3.37,0.78,11.2,2.6,亚翔集成,603929
农药兽药,-5.86,-15.0,-2.39,-6.55,-1.04,-8.45,-1.35,2.78,0.44,11.92,1.9,广信股份,603599
