板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
电池,2.21,31.64,5.73,30.29,5.48,1.36,0.25,-19.99,-3.62,-11.0,-1.99,天际股份,002759
化学制品,1.53,30.61,5.61,26.29,4.82,4.32,0.79,-18.42,-3.38,-12.17,-2.23,永太科技,002326
电子元件,0.25,18.98,2.32,25.19,3.08,-6.21,-0.76,-16.45,-2.01,-2.52,-0.31,杉杉股份,600884
小金属,1.06,17.13,3.56,12.32,2.56,4.81,1.0,-7.36,-1.53,-9.84,-2.04,中钨高新,000657
消费电子,0.66,12.86,2.25,12.99,2.27,-0.14,-0.02,-13.62,-2.38,0.65,0.11,工业富联,601138
通用设备,0.52,9.08,1.54,13.06,2.21,-3.98,-0.68,-9.98,-1.69,-0.02,0.0,五洲新春,603667
石油行业,1.8,8.45,6.93,5.42,4.45,3.02,2.48,-3.76,-3.09,-4.68,-3.84,洲际油气,600759
汽车零部件,0.46,8.05,1.27,5.91,0.93,2.15,0.34,-5.99,-0.95,-2.01,-0.32,斯菱智驱,301550
电力行业,0.84,7.3,3.28,7.07,3.17,0.23,0.1,-7.11,-3.19,-0.19,-0.08,协鑫能科,002015
塑料制品,1.3,6.22,3.17,8.91,4.54,-2.69,-1.37,-4.98,-2.54,-1.29,-0.66,佛塑科技,000973
化学原料,1.87,5.44,2.27,5.42,2.27,0.01,0.0,-4.49,-1.88,-0.36,-0.15,金牛化工,600722
专用设备,0.77,4.81,0.78,6.11,0.99,-1.3,-0.21,-11.4,-1.85,8.34,1.35,天奇股份,002009
计算机设备,-0.09,4.41,2.32,-0.49,-0.26,4.9,2.58,-1.26,-0.67,-3.12,-1.64,海康威视,002415
电网设备,1.21,3.0,0.47,9.69,1.5,-6.7,-1.04,-8.71,-1.35,6.39,0.99,三变科技,002112
化纤行业,1.8,2.76,2.8,1.85,1.87,0.91,0.92,-0.09,-0.09,-2.59,-2.63,皖维高新,600063
采掘行业,3.38,2.72,2.02,1.51,1.13,1.2,0.89,-2.1,-1.56,-0.02,-0.02,新锦动力,300157
能源金属,2.39,2.15,1.2,3.06,1.71,-0.91,-0.51,-0.78,-0.44,-1.37,-0.76,盛新锂能,002240
保险,-0.43,1.92,2.28,-1.24,-1.47,3.15,3.75,-0.53,-0.64,-1.38,-1.65,中国平安,601318
游戏,0.31,1.36,0.84,2.12,1.3,-0.75,-0.46,-1.07,-0.66,-0.29,-0.18,完美世界,002624
家电行业,0.0,1.36,0.55,2.5,1.01,-1.14,-0.46,-3.33,-1.34,1.86,0.75,三花智控,002050
造纸印刷,0.83,1.21,2.29,1.18,2.22,0.04,0.07,-0.64,-1.2,-0.43,-0.81,京华激光,603607
钢铁行业,-0.32,0.68,0.54,0.08,0.06,0.6,0.48,-0.56,-0.45,-0.13,-0.11,杭钢股份,600126
电机,0.91,0.68,0.88,0.39,0.51,0.28,0.37,-1.46,-1.9,1.02,1.32,方正电机,002196
电子化学品,0.06,0.66,0.65,1.19,1.19,-0.53,-0.53,-0.65,-0.64,-0.01,-0.01,南大光电,300346
中药,1.25,0.63,0.28,1.91,0.84,-1.29,-0.57,-0.99,-0.43,0.55,0.24,特一药业,002728
化肥行业,1.33,0.46,0.39,0.36,0.31,0.1,0.09,-1.38,-1.17,0.92,0.78,东方铁塔,002545
光伏设备,1.26,0.35,0.04,4.79,0.52,-4.43,-0.49,-8.22,-0.9,7.75,0.85,隆基绿能,601012
航运港口,-0.54,0.22,0.29,-0.1,-0.13,0.32,0.42,-0.5,-0.66,0.29,0.38,中远海能,600026
综合行业,-0.15,0.17,0.42,0.33,0.84,-0.17,-0.42,-0.7,-1.78,0.54,1.36,东阳光,600673
包装材料,1.33,0.09,0.1,0.97,1.07,-0.88,-0.97,-1.93,-2.13,1.92,2.13,顺灏股份,002565
专业服务,0.24,-0.14,-0.15,-1.03,-1.14,0.89,0.99,-0.83,-0.93,0.99,1.1,航天工程,603698
教育,0.32,-0.23,-1.13,-0.05,-0.25,-0.18,-0.89,-0.04,-0.21,0.27,1.35,中国高科,600730
铁路公路,-0.82,-0.34,-0.95,-0.94,-2.64,0.6,1.68,0.3,0.84,0.04,0.11,富临运业,002357
家用轻工,0.08,-0.41,-0.66,-0.02,-0.03,-0.39,-0.63,-0.91,-1.45,1.33,2.13,马可波罗,001386
汽车服务,-0.38,-0.49,-5.19,-0.24,-2.54,-0.25,-2.65,0.08,0.85,0.38,4.01,中汽股份,301215
橡胶制品,0.32,-0.56,-0.89,-0.54,-0.85,-0.02,-0.03,-0.04,-0.06,0.68,1.07,彤程新材,603650
珠宝首饰,2.27,-0.57,-0.99,0.32,0.56,-0.89,-1.54,-1.16,-2.0,1.72,2.99,潮宏基,002345
医疗器械,0.1,-0.57,-0.34,-0.17,-0.1,-0.4,-0.24,-0.23,-0.14,0.58,0.35,天智航-U,688277
公用事业,-0.27,-0.57,-2.39,-0.41,-1.69,-0.17,-0.7,-0.61,-2.53,1.18,4.91,百通能源,001376
交运设备,0.53,-0.76,-1.23,-0.06,-0.1,-0.7,-1.13,-0.43,-0.7,1.19,1.92,时代电气,688187
燃气,0.88,-0.84,-1.85,-0.4,-0.89,-0.44,-0.97,-0.81,-1.79,1.64,3.62,升达林业,002259
纺织服装,0.56,-0.91,-0.61,1.65,1.1,-2.56,-1.71,-0.73,-0.49,1.59,1.06,真爱美家,003041
水泥建材,-0.18,-0.92,-1.6,-0.02,-0.03,-0.9,-1.57,-0.48,-0.83,1.4,2.43,杭萧钢构,600477
工程机械,-0.3,-0.96,-1.05,-1.15,-1.25,0.19,0.2,0.61,0.67,0.43,0.47,川润股份,002272
物流行业,-0.13,-1.04,-1.21,-1.25,-1.45,0.2,0.24,-0.11,-0.13,1.18,1.37,顺丰控股,002352
汽车整车,0.6,-1.27,-1.11,-0.46,-0.4,-0.81,-0.71,-0.35,-0.3,1.62,1.41,金龙汽车,600686
工程咨询服务,-0.35,-1.34,-3.45,0.1,0.24,-1.43,-3.69,0.04,0.11,1.16,2.99,百利科技,603959
仪器仪表,0.37,-1.37,-1.46,-0.39,-0.41,-0.99,-1.05,-2.4,-2.55,3.8,4.04,禾信仪器,688622
房地产服务,-0.13,-1.64,-4.35,-0.91,-2.42,-0.72,-1.92,0.53,1.4,1.11,2.95,皇庭国际,000056
农药兽药,0.97,-1.97,-2.32,-0.45,-0.53,-1.52,-1.79,-0.62,-0.72,2.61,3.06,联化科技,002250
贵金属,0.13,-2.11,-0.6,5.47,1.54,-7.58,-2.14,-1.27,-0.36,3.38,0.96,湖南黄金,002155
多元金融,-0.28,-2.14,-4.03,-0.9,-1.69,-1.24,-2.34,0.32,0.61,1.81,3.42,渤海租赁,000415
装修建材,0.0,-2.17,-2.23,-1.14,-1.17,-1.04,-1.06,-0.82,-0.84,3.0,3.07,万里石,002785
生物制品,0.15,-2.18,-1.53,-0.94,-0.66,-1.24,-0.87,-0.79,-0.56,2.48,1.75,舒泰神,300204
贸易行业,-0.58,-2.29,-3.52,-1.11,-1.7,-1.18,-1.81,-0.26,-0.4,2.56,3.94,怡 亚 通,002183
电源设备,-0.03,-2.57,-1.91,-2.82,-2.1,0.26,0.19,-2.1,-1.56,4.66,3.47,海博思创,688411
工程建设,-0.59,-2.64,-1.62,-2.16,-1.33,-0.48,-0.29,0.95,0.58,1.73,1.06,中国中铁,601390
装修装饰,-0.01,-2.67,-4.12,-1.05,-1.62,-1.62,-2.51,-0.5,-0.77,3.13,4.83,名雕股份,002830
航空机场,-1.36,-2.71,-5.01,-1.26,-2.34,-1.45,-2.67,1.0,1.85,1.71,3.16,吉祥航空,603885
