板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
医药商业,-0.65,-2.73,-3.89,-1.15,-1.64,-1.58,-2.25,0.83,1.19,1.89,2.7,海王生物,000078
化学制药,0.78,-2.82,-0.82,-0.11,-0.03,-2.7,-0.78,-0.14,-0.04,3.17,0.92,海翔药业,002099
风电设备,0.68,-3.01,-1.66,0.47,0.26,-3.48,-1.92,-2.91,-1.6,5.92,3.27,天顺风能,002531
美容护理,-0.83,-3.63,-6.21,-1.42,-2.44,-2.2,-3.78,1.23,2.11,2.39,4.1,延江股份,300658
环保行业,0.54,-4.01,-2.7,-1.56,-1.05,-2.45,-1.65,0.58,0.39,3.45,2.32,浙富控股,002266
半导体,-1.12,-4.36,-0.3,-1.92,-0.13,-2.44,-0.17,-11.3,-0.78,15.56,1.08,海光信息,688041
医疗服务,-0.28,-4.94,-2.81,-2.73,-1.56,-2.21,-1.26,1.76,1.0,3.18,1.81,泰格医药,300347
煤炭行业,-0.47,-4.99,-3.48,-1.18,-0.82,-3.81,-2.66,0.86,0.6,4.13,2.88,中国神华,601088
房地产开发,-0.53,-5.0,-3.15,-4.26,-2.68,-0.75,-0.47,1.03,0.65,3.97,2.5,合肥城建,002208
旅游酒店,-1.9,-5.42,-4.55,-2.28,-1.91,-3.14,-2.64,0.87,0.73,4.55,3.82,锦江酒店,600754
玻璃玻纤,-1.26,-6.06,-3.83,-2.23,-1.41,-3.83,-2.42,1.88,1.19,5.08,3.21,金晶科技,600586
非金属材料,0.3,-6.11,-3.34,-3.75,-2.05,-2.36,-1.29,0.09,0.05,6.28,3.44,索通发展,603612
通信服务,0.14,-6.56,-4.84,-5.17,-3.82,-1.39,-1.02,-0.66,-0.49,7.22,5.33,鼎信通讯,603421
船舶制造,-1.32,-7.27,-6.37,-3.98,-3.49,-3.29,-2.88,2.55,2.23,4.72,4.14,江龙船艇,300589
银行,-0.21,-8.5,-2.88,-9.18,-3.11,0.67,0.23,0.58,0.2,7.92,2.69,招商银行,600036
食品饮料,-0.45,-11.14,-5.12,-5.25,-2.41,-5.88,-2.7,-1.06,-0.49,11.5,5.28,百龙创园,605016
农牧饲渔,0.29,-11.65,-4.88,-11.19,-4.69,-0.46,-0.19,-1.45,-0.61,13.09,5.49,众兴菌业,002772
商业百货,-2.02,-12.59,-6.67,-6.79,-3.6,-5.8,-3.07,-0.22,-0.12,12.81,6.79,新华百货,600785
证券,-0.74,-14.04,-5.96,-7.29,-3.1,-6.75,-2.87,1.37,0.58,12.67,5.38,中银证券,601696
酿酒行业,-1.95,-18.16,-6.65,-9.67,-3.54,-8.49,-3.11,5.07,1.86,13.09,4.79,迎驾贡酒,603198
航天航空,-1.74,-20.31,-5.94,-12.16,-3.56,-8.15,-2.39,3.53,1.03,16.55,4.84,航发科技,600391
光学光电子,-0.46,-21.01,-6.15,-11.59,-3.39,-9.42,-2.76,2.68,0.78,18.32,5.36,美迪凯,688079
有色金属,0.0,-22.21,-2.94,-6.38,-0.84,-15.83,-2.09,-1.86,-0.25,24.12,3.19,白银有色,601212
软件开发,-0.64,-22.39,-3.78,-10.68,-1.81,-11.71,-1.98,2.68,0.45,18.75,3.17,格尔软件,603232
文化传媒,-1.4,-35.51,-5.56,-19.31,-3.02,-16.2,-2.54,3.16,0.49,31.9,4.99,万达电影,002739
互联网服务,-0.21,-40.04,-4.18,-25.02,-2.61,-15.02,-1.57,-0.12,-0.01,40.35,4.21,数据港,603881
通信设备,0.11,-40.25,-2.77,-11.19,-0.77,-29.06,-2.0,16.78,1.15,23.83,1.64,银河电子,002519
