板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
银行,0.69,40.93,1.06,8.56,0.22,32.37,0.84,-57.84,-1.5,16.9,0.44,江苏银行,600919
煤炭行业,7.92,21.94,1.54,23.53,1.65,-1.58,-0.11,0.46,0.03,-22.4,-1.57,陕西煤业,601225
保险,1.76,19.51,1.19,36.3,2.21,-16.78,-1.02,-26.69,-1.62,7.18,0.44,中国太保,601601
证券,-0.66,18.84,0.57,-18.43,-0.55,37.27,1.12,16.62,0.5,-35.46,-1.07,中信证券,600030
玻璃玻纤,8.94,17.54,0.99,23.79,1.35,-6.25,-0.35,-3.3,-0.19,-13.0,-0.74,C振石,601112
石油行业,11.82,9.19,0.6,8.02,0.52,1.17,0.08,10.08,0.65,-19.26,-1.25,中国海油,600938
铁路公路,1.32,6.48,1.54,4.99,1.18,1.48,0.35,-3.03,-0.72,-3.45,-0.82,京沪高铁,601816
珠宝首饰,8.53,1.79,0.27,8.03,1.2,-6.24,-0.94,-6.18,-0.93,4.39,0.66,金一文化,002721
工程机械,-0.08,-0.57,-0.04,4.63,0.35,-5.21,-0.39,-1.33,-0.1,-0.26,-0.02,三一重工,600031
汽车服务,-1.85,-0.86,-0.59,0.32,0.22,-1.18,-0.81,-0.1,-0.07,0.74,0.51,中国汽研,601965
农药兽药,6.6,-1.27,-0.11,0.8,0.07,-2.07,-0.17,-3.98,-0.33,5.09,0.43,利民股份,002734
房地产服务,1.6,-2.14,-0.62,1.79,0.51,-3.93,-1.13,-3.1,-0.89,5.24,1.5,群兴玩具,002575
公用事业,2.97,-2.58,-0.82,1.32,0.42,-3.91,-1.25,-1.31,-0.42,3.89,1.24,百通能源,001376
家用轻工,1.19,-4.4,-0.68,0.44,0.07,-4.83,-0.74,1.22,0.19,2.64,0.41,马可波罗,001386
水泥建材,2.87,-6.71,-0.94,-0.32,-0.04,-6.39,-0.89,-4.3,-0.6,11.0,1.54,海螺水泥,600585
化学原料,8.83,-6.84,-0.21,4.99,0.15,-11.84,-0.36,-7.89,-0.24,15.1,0.46,宝丰能源,600989
贸易行业,3.23,-7.43,-0.64,2.34,0.2,-9.78,-0.84,-3.11,-0.27,10.03,0.86,怡 亚 通,002183
物流行业,0.56,-9.89,-0.92,3.21,0.3,-13.1,-1.21,-10.19,-0.94,19.82,1.84,德邦股份,603056
装修建材,6.31,-10.69,-0.87,-4.06,-0.33,-6.62,-0.54,-8.32,-0.68,17.43,1.42,青龙管业,002457
美容护理,-1.86,-11.23,-2.24,-5.34,-1.06,-5.9,-1.18,3.1,0.62,8.13,1.62,上海家化,600315
造纸印刷,2.1,-12.23,-1.8,-2.31,-0.34,-9.92,-1.46,-2.04,-0.3,13.53,1.99,景兴纸业,002067
船舶制造,-2.72,-12.72,-1.18,-11.82,-1.1,-0.9,-0.08,2.69,0.25,10.03,0.93,海兰信,300065
酿酒行业,1.75,-13.55,-0.52,28.66,1.1,-42.22,-1.62,0.59,0.02,12.96,0.5,泸州老窖,000568
包装材料,1.61,-13.56,-1.9,-6.49,-0.91,-7.07,-0.99,-5.39,-0.76,18.61,2.61,宝钢包装,601968
燃气,5.26,-13.91,-1.52,-5.52,-0.6,-8.39,-0.91,-2.45,-0.27,15.71,1.71,新天然气,603393
采掘行业,20.02,-14.3,-1.07,-5.89,-0.44,-8.41,-0.63,1.67,0.12,14.66,1.09,石化油服,600871
橡胶制品,1.8,-14.47,-1.56,-4.74,-0.51,-9.74,-1.05,-1.4,-0.15,13.22,1.43,赛轮轮胎,601058
教育,-4.35,-15.32,-4.11,-8.08,-2.17,-7.24,-1.94,1.09,0.29,14.23,3.82,创业黑马,300688
化纤行业,4.64,-16.44,-1.3,-10.54,-0.83,-5.9,-0.47,13.89,1.1,0.94,0.07,荣盛石化,002493
工程咨询服务,-1.53,-16.65,-3.17,-5.6,-1.07,-11.05,-2.1,1.9,0.36,15.6,2.97,华维设计,920427
综合行业,1.53,-16.65,-2.5,-6.76,-1.02,-9.9,-1.49,1.14,0.17,15.51,2.33,综艺股份,600770
多元金融,-0.18,-18.32,-2.44,-11.59,-1.54,-6.74,-0.9,3.23,0.43,15.09,2.01,渤海租赁,000415
农牧饲渔,4.64,-18.85,-0.73,6.78,0.26,-25.62,-1.0,-14.7,-0.57,34.84,1.36,农发种业,600313
航空机场,-1.03,-22.05,-3.71,-8.9,-1.5,-13.16,-2.21,15.38,2.59,6.68,1.12,深圳机场,000089
纺织服装,2.25,-22.52,-1.72,-10.73,-0.82,-11.79,-0.9,4.92,0.37,17.45,1.33,真爱美家,003041
钢铁行业,6.75,-23.39,-1.06,-6.65,-0.3,-16.74,-0.76,3.58,0.16,19.69,0.89,大中矿业,001203
医药商业,-1.63,-23.99,-2.61,-5.43,-0.59,-18.56,-2.02,-2.7,-0.29,26.69,2.9,益丰药房,603939
专业服务,-0.64,-26.04,-2.43,-10.47,-0.98,-15.57,-1.45,-1.67,-0.16,26.23,2.45,南网能源,003035
房地产开发,3.51,-27.37,-1.08,-2.87,-0.11,-24.49,-0.96,-6.32,-0.25,33.69,1.32,保利发展,600048
装修装饰,1.28,-27.37,-3.19,-21.56,-2.51,-5.82,-0.68,9.62,1.12,17.25,2.01,法狮龙,605318
电源设备,-2.19,-28.29,-1.31,-14.34,-0.66,-13.96,-0.64,-15.42,-0.71,43.71,2.02,C恒运昌,688785
食品饮料,0.85,-29.15,-1.38,-11.92,-0.57,-17.22,-0.82,-2.47,-0.12,29.21,1.39,伊利股份,600887
旅游酒店,1.63,-29.39,-2.3,-12.97,-1.01,-16.42,-1.28,5.12,0.4,24.27,1.9,大连圣亚,600593
中药,0.4,-30.4,-2.33,-14.61,-1.12,-15.79,-1.21,10.11,0.77,20.21,1.55,云南白药,000538
航运港口,3.85,-30.53,-3.02,-19.33,-1.91,-11.2,-1.11,18.66,1.85,11.99,1.19,中远海能,600026
游戏,-1.96,-30.99,-1.64,-20.92,-1.11,-10.06,-0.53,12.52,0.66,18.46,0.98,顺网科技,300113
化肥行业,9.91,-35.63,-1.87,-26.53,-1.39,-9.1,-0.48,-0.23,-0.01,35.27,1.85,云图控股,002539
仪器仪表,-2.57,-38.44,-2.64,-20.56,-1.41,-17.88,-1.23,3.0,0.21,29.8,2.05,咸亨国际,605056
生物制品,-3.01,-39.52,-2.11,-25.42,-1.36,-14.1,-0.75,27.9,1.49,8.93,0.48,上海莱士,002252
通信服务,-3.07,-41.07,-2.09,-31.57,-1.61,-9.5,-0.48,12.39,0.63,28.69,1.46,中国联通,600050
风电设备,0.39,-44.51,-1.73,-17.53,-0.68,-26.98,-1.05,-11.22,-0.44,55.73,2.16,飞沃科技,301232
医疗器械,-1.88,-47.12,-1.82,-25.06,-0.97,-22.06,-0.85,21.2,0.82,22.51,0.87,康众医疗,688607
非金属材料,-2.56,-50.07,-1.91,-28.98,-1.1,-21.09,-0.8,1.69,0.06,47.4,1.81,天通股份,600330
环保行业,2.89,-51.02,-2.63,-23.52,-1.21,-27.5,-1.42,3.32,0.17,47.45,2.45,高能环境,603588
能源金属,1.39,-53.16,-1.73,-25.96,-0.85,-27.21,-0.89,7.79,0.25,45.37,1.48,盛新锂能,002240
交运设备,-0.76,-54.16,-5.67,-36.45,-3.82,-17.71,-1.85,12.61,1.32,41.08,4.3,中国通号,688009
商业百货,-2.28,-56.33,-3.26,-23.13,-1.34,-33.21,-1.92,5.86,0.34,50.47,2.92,富森美,002818
医疗服务,-3.66,-57.87,-2.55,-40.93,-1.8,-16.93,-0.75,14.72,0.65,43.15,1.9,泰格医药,300347
电机,-1.72,-58.25,-4.01,-24.73,-1.7,-33.52,-2.31,3.11,0.21,52.68,3.62,中电电机,603988
塑料制品,-0.15,-70.47,-2.87,-28.27,-1.15,-42.2,-1.72,-4.62,-0.19,73.67,3.0,肇民科技,301000
化学制品,4.29,-73.29,-1.22,-14.36,-0.24,-58.93,-0.98,-17.09,-0.29,88.64,1.48,万华化学,600309
光学光电子,-1.06,-77.53,-1.58,-36.34,-0.74,-41.19,-0.84,20.76,0.42,56.48,1.15,TCL科技,000100
电子化学品,-1.93,-79.46,-3.61,-43.27,-1.97,-36.19,-1.65,24.98,1.14,54.49,2.48,宏昌电子,603002
文化传媒,4.41,-80.17,-1.09,-30.75,-0.42,-49.42,-0.67,13.99,0.19,67.79,0.92,光线传媒,300251
化学制药,-1.98,-85.16,-2.35,-53.66,-1.48,-31.5,-0.87,-0.98,-0.03,83.87,2.32,广生堂,300436
贵金属,56.06,-86.29,-2.23,-28.91,-0.75,-57.38,-1.48,26.0,0.67,60.29,1.56,湖南黄金,002155
