板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
小金属,6.72,-88.19,-1.19,-20.17,-0.27,-68.02,-0.92,-16.77,-0.23,104.63,1.42,北方稀土,600111
工程建设,1.64,-96.13,-2.85,-84.09,-2.49,-12.03,-0.36,48.13,1.43,47.92,1.42,XD中国化,601117
汽车整车,-0.77,-109.08,-5.49,-62.81,-3.16,-46.27,-2.33,26.74,1.35,82.34,4.15,江淮汽车,600418
电力行业,0.73,-114.79,-3.19,-100.78,-2.8,-14.01,-0.39,6.4,0.18,108.39,3.01,涪陵电力,600452
计算机设备,-6.26,-126.17,-3.77,-68.85,-2.06,-57.32,-1.71,21.03,0.63,104.75,3.13,海康威视,002415
航天航空,0.28,-137.47,-2.27,-74.97,-1.24,-62.5,-1.03,27.55,0.45,108.45,1.79,航发动力,600893
家电行业,-1.68,-154.91,-3.93,-80.21,-2.03,-74.7,-1.89,-12.46,-0.32,166.51,4.22,美的集团,000333
通用设备,-0.8,-176.22,-2.35,-67.21,-0.9,-109.02,-1.45,6.55,0.09,158.57,2.11,东睦股份,600114
专用设备,-0.12,-184.58,-2.22,-89.38,-1.07,-95.2,-1.14,24.04,0.29,164.12,1.97,连城数控,920368
通信设备,-3.04,-184.61,-1.19,8.44,0.05,-193.05,-1.24,-94.09,-0.6,277.22,1.78,天孚通信,300394
光伏设备,4.29,-187.99,-2.08,-36.78,-0.41,-151.22,-1.67,8.91,0.1,178.12,1.97,德业股份,605117
电池,-4.89,-224.87,-3.68,-102.79,-1.68,-122.08,-2.0,21.8,0.36,195.47,3.19,震裕科技,300953
有色金属,9.68,-233.94,-1.89,-142.22,-1.15,-91.72,-0.74,8.13,0.07,225.86,1.83,云铝股份,000807
软件开发,-4.41,-242.86,-2.51,-138.02,-1.43,-104.85,-1.08,65.39,0.68,166.24,1.72,中控技术,688777
互联网服务,-1.49,-262.76,-2.13,-136.13,-1.1,-126.63,-1.03,40.83,0.33,220.89,1.79,网宿科技,300017
汽车零部件,-2.55,-282.19,-3.21,-132.18,-1.5,-150.01,-1.71,5.78,0.07,267.72,3.05,华懋科技,603306
电子元件,-1.41,-293.58,-2.79,-146.0,-1.39,-147.58,-1.4,19.44,0.18,270.75,2.57,鹏鼎控股,002938
电网设备,-0.82,-318.01,-3.21,-149.79,-1.51,-168.22,-1.7,-1.69,-0.02,313.4,3.16,远东股份,600869
消费电子,-2.73,-386.51,-4.46,-235.71,-2.72,-150.81,-1.74,56.01,0.65,329.13,3.8,环旭电子,601231
半导体,3.1,-546.54,-1.99,-386.73,-1.41,-159.81,-0.58,192.0,0.7,354.05,1.29,海光信息,688041
